date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-16,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-16,Livestock / Poultry,Live chicken,12165,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-16,Marine fish,-,1350,(picul),-,Fish Marketing Organization
2016-01-16,Freshwater fish,-,3222,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-16,Vegetables,-,5206,(picul),-,Vegetable Marketing Organization
2016-01-16,Vegetables,-,10362,(picul),-,Government Wholesale Markets
2016-01-16,Eggs,-,468e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-17,Livestock / Poultry,Live pig,4694,(head),Mainland,Food and Environmental Hygiene Department
2016-01-17,Livestock / Poultry,Live pig,290,(head),Local,Food and Environmental Hygiene Department
2016-01-17,Livestock / Poultry,Live cattle,53,(head),Mainland,Food and Environmental Hygiene Department
2016-01-17,Livestock / Poultry,Live chicken,10600,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-17,Marine fish,-,1720,(picul),-,Fish Marketing Organization
2016-01-17,Freshwater fish,-,2917,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-17,Vegetables,-,4721,(picul),-,Vegetable Marketing Organization
2016-01-17,Vegetables,-,9603,(picul),-,Government Wholesale Markets
2016-01-18,Livestock / Poultry,Live pig,4482,(head),Mainland,Food and Environmental Hygiene Department
2016-01-18,Livestock / Poultry,Live pig,254,(head),Local,Food and Environmental Hygiene Department
2016-01-18,Livestock / Poultry,Live cattle,72,(head),Mainland,Food and Environmental Hygiene Department
2016-01-18,Livestock / Poultry,Live chicken,12245,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-18,Marine fish,-,1578,(picul),-,Fish Marketing Organization
2016-01-18,Freshwater fish,-,3683,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-18,Vegetables,-,5390,(picul),-,Vegetable Marketing Organization
2016-01-18,Vegetables,-,10973,(picul),-,Government Wholesale Markets
2016-01-18,Eggs,-,328e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-19,Livestock / Poultry,Live pig,4235,(head),Mainland,Food and Environmental Hygiene Department
2016-01-19,Livestock / Poultry,Live pig,222,(head),Local,Food and Environmental Hygiene Department
2016-01-19,Livestock / Poultry,Live cattle,63,(head),Mainland,Food and Environmental Hygiene Department
2016-01-19,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-19,Livestock / Poultry,Live chicken,12100,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-19,Marine fish,-,1741,(picul),-,Fish Marketing Organization
2016-01-19,Freshwater fish,-,3004,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-19,Vegetables,-,5428,(picul),-,Vegetable Marketing Organization
2016-01-19,Vegetables,-,11649,(picul),-,Government Wholesale Markets
2016-01-19,Eggs,-,454e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-20,Livestock / Poultry,Live pig,4317,(head),Mainland,Food and Environmental Hygiene Department
2016-01-20,Livestock / Poultry,Live pig,214,(head),Local,Food and Environmental Hygiene Department
2016-01-20,Livestock / Poultry,Live cattle,46,(head),Mainland,Food and Environmental Hygiene Department
2016-01-20,Livestock / Poultry,Live chicken,10294,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-20,Marine fish,-,1598,(picul),-,Fish Marketing Organization
2016-01-20,Freshwater fish,-,3081,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
