food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Livestock / Poultry,Live chicken,9670,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,31/12/2015,NA
Marine fish,-,1417,(picul),(Yesterday),-,Fish Marketing Organization,31/12/2015,NA
Freshwater fish,-,3075,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,31/12/2015,NA
Vegetables,-,5545,(picul),(Yesterday),-,Vegetable Marketing Organization,31/12/2015,NA
Vegetables,-,10560,(picul),(Yesterday),-,Government Wholesale Markets,31/12/2015,NA
Eggs,-,5740000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,31/12/2015,NA
Livestock / Poultry,Live pig,3409,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,1/1/2016,NA
Livestock / Poultry,Live pig,174,(head),(Yesterday),Local,Food and Environmental Hygiene Department,1/1/2016,NA
Livestock / Poultry,Live cattle,63,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,1/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,1/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/1/2016,NA
Livestock / Poultry,Live chicken,11901,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/1/2016,NA
Marine fish,-,Rest Day,(picul),(Yesterday),-,Fish Marketing Organization,1/1/2016,NA
Freshwater fish,-,2866,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,1/1/2016,NA
Vegetables,-,5418,(picul),(Yesterday),-,Vegetable Marketing Organization,1/1/2016,NA
Vegetables,-,10890,(picul),(Yesterday),-,Government Wholesale Markets,1/1/2016,NA
Eggs,-,3550000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,1/1/2016,NA
Livestock / Poultry,Live pig,2740,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,2/1/2016,NA
Livestock / Poultry,Live pig,186,(head),(Yesterday),Local,Food and Environmental Hygiene Department,2/1/2016,NA
Livestock / Poultry,Live cattle,13,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,2/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,2/1/2016,NA
Livestock / Poultry,Live chicken,2000,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/1/2016,NA
Livestock / Poultry,Live chicken,12240,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/1/2016,NA
Marine fish,-,2275,(picul),(Yesterday),-,Fish Marketing Organization,2/1/2016,NA
Freshwater fish,-,2814,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,2/1/2016,NA
Vegetables,-,4977,(picul),(Yesterday),-,Vegetable Marketing Organization,2/1/2016,NA
Vegetables,-,11204,(picul),(Yesterday),-,Government Wholesale Markets,2/1/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,2/1/2016,NA
Livestock / Poultry,Live pig,3205,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,3/1/2016,NA
Livestock / Poultry,Live pig,241,(head),(Yesterday),Local,Food and Environmental Hygiene Department,3/1/2016,NA
Livestock / Poultry,Live cattle,52,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,3/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,3/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,3/1/2016,NA
Livestock / Poultry,Live chicken,10970,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,3/1/2016,NA
Marine fish,-,1374,(picul),(Yesterday),-,Fish Marketing Organization,3/1/2016,NA
Freshwater fish,-,2983,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,3/1/2016,NA
Vegetables,-,5221,(picul),(Yesterday),-,Vegetable Marketing Organization,3/1/2016,NA
Vegetables,-,10181,(picul),(Yesterday),-,Government Wholesale Markets,3/1/2016,NA
Eggs,-,4740000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,3/1/2016,NA
Livestock / Poultry,Live pig,4651,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,4/1/2016,NA
