food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Eggs,-,5510000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,23/8/2016,NA
Livestock / Poultry,Live pig,3616,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,24/8/2016,NA
Livestock / Poultry,Live pig,222,(head),(Yesterday),Local,Food and Environmental Hygiene Department,24/8/2016,NA
Livestock / Poultry,Live cattle,39,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,24/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,24/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,24/8/2016,NA
Livestock / Poultry,Live chicken,9730,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,24/8/2016,NA
Marine fish,-,2051,(picul),(Yesterday),-,Fish Marketing Organization,24/8/2016,NA
Freshwater fish,-,2518,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,24/8/2016,NA
Vegetables,-,4833,(picul),(Yesterday),-,Vegetable Marketing Organization,24/8/2016,NA
Vegetables,-,11105,(picul),(Yesterday),-,Government Wholesale Markets,24/8/2016,NA
Eggs,-,3680000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,24/8/2016,NA
Livestock / Poultry,Live pig,3396,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,25/8/2016,NA
Livestock / Poultry,Live pig,222,(head),(Yesterday),Local,Food and Environmental Hygiene Department,25/8/2016,NA
Livestock / Poultry,Live cattle,42,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,25/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,25/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,25/8/2016,NA
Livestock / Poultry,Live chicken,11086,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,25/8/2016,NA
Marine fish,-,2139,(picul),(Yesterday),-,Fish Marketing Organization,25/8/2016,NA
Freshwater fish,-,2709,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,25/8/2016,NA
Vegetables,-,4742,(picul),(Yesterday),-,Vegetable Marketing Organization,25/8/2016,NA
Vegetables,-,11484,(picul),(Yesterday),-,Government Wholesale Markets,25/8/2016,NA
Eggs,-,2140000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,25/8/2016,NA
Livestock / Poultry,Live pig,3170,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,26/8/2016,NA
Livestock / Poultry,Live pig,211,(head),(Yesterday),Local,Food and Environmental Hygiene Department,26/8/2016,NA
Livestock / Poultry,Live cattle,50,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,26/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,26/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,26/8/2016,NA
Livestock / Poultry,Live chicken,10160,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,26/8/2016,NA
Marine fish,-,2182,(picul),(Yesterday),-,Fish Marketing Organization,26/8/2016,NA
Freshwater fish,-,2733,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,26/8/2016,NA
Vegetables,-,4980,(picul),(Yesterday),-,Vegetable Marketing Organization,26/8/2016,NA
Vegetables,-,11154,(picul),(Yesterday),-,Government Wholesale Markets,26/8/2016,NA
Eggs,-,5200000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,26/8/2016,NA
Livestock / Poultry,Live pig,3725,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,27/8/2016,NA
Livestock / Poultry,Live pig,255,(head),(Yesterday),Local,Food and Environmental Hygiene Department,27/8/2016,NA
Livestock / Poultry,Live cattle,51,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,27/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,27/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,27/8/2016,NA
Livestock / Poultry,Live chicken,10680,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,27/8/2016,NA
Marine fish,-,1761,(picul),(Yesterday),-,Fish Marketing Organization,27/8/2016,NA
Freshwater fish,-,2663,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,27/8/2016,NA
Vegetables,-,4886,(picul),(Yesterday),-,Vegetable Marketing Organization,27/8/2016,NA
Vegetables,-,11484,(picul),(Yesterday),-,Government Wholesale Markets,27/8/2016,NA
Eggs,-,3700000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,27/8/2016,NA
Livestock / Poultry,Live pig,3499,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,28/8/2016,NA
Livestock / Poultry,Live pig,208,(head),(Yesterday),Local,Food and Environmental Hygiene Department,28/8/2016,NA
Livestock / Poultry,Live cattle,55,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,28/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,28/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,28/8/2016,NA
Livestock / Poultry,Live chicken,9950,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,28/8/2016,NA
Marine fish,-,1577,(picul),(Yesterday),-,Fish Marketing Organization,28/8/2016,NA
Freshwater fish,-,2206,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,28/8/2016,NA
Vegetables,-,4649,(picul),(Yesterday),-,Vegetable Marketing Organization,28/8/2016,NA
Vegetables,-,10395,(picul),(Yesterday),-,Government Wholesale Markets,28/8/2016,NA
Eggs,-,5390000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,28/8/2016,NA
Livestock / Poultry,Live pig,4042,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,29/8/2016,NA
Livestock / Poultry,Live pig,284,(head),(Yesterday),Local,Food and Environmental Hygiene Department,29/8/2016,NA
Livestock / Poultry,Live cattle,37,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,29/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,29/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,29/8/2016,NA
Livestock / Poultry,Live chicken,8420,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,29/8/2016,NA
Marine fish,-,2228,(picul),(Yesterday),-,Fish Marketing Organization,29/8/2016,NA
Freshwater fish,-,2705,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,29/8/2016,NA
Vegetables,-,4532,(picul),(Yesterday),-,Vegetable Marketing Organization,29/8/2016,NA
Vegetables,-,10263,(picul),(Yesterday),-,Government Wholesale Markets,29/8/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,29/8/2016,NA
Livestock / Poultry,Live pig,3645,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,30/8/2016,NA
Livestock / Poultry,Live pig,283,(head),(Yesterday),Local,Food and Environmental Hygiene Department,30/8/2016,NA
Livestock / Poultry,Live cattle,41,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,30/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,30/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,30/8/2016,NA
Livestock / Poultry,Live chicken,8450,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,30/8/2016,NA
Marine fish,-,2013,(picul),(Yesterday),-,Fish Marketing Organization,30/8/2016,NA
Freshwater fish,-,2742,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,30/8/2016,NA
Vegetables,-,5179,(picul),(Yesterday),-,Vegetable Marketing Organization,30/8/2016,NA
Vegetables,-,10824,(picul),(Yesterday),-,Government Wholesale Markets,30/8/2016,NA
Eggs,-,5000000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,30/8/2016,NA
Livestock / Poultry,Live pig,4679,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,31/8/2016,NA
Livestock / Poultry,Live pig,239,(head),(Yesterday),Local,Food and Environmental Hygiene Department,31/8/2016,NA
Livestock / Poultry,Live cattle,52,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,31/8/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,31/8/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,31/8/2016,NA
Livestock / Poultry,Live chicken,7990,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,31/8/2016,NA
Marine fish,-,1915,(picul),(Yesterday),-,Fish Marketing Organization,31/8/2016,NA
Freshwater fish,-,2635,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,31/8/2016,NA
Vegetables,-,5082,(picul),(Yesterday),-,Vegetable Marketing Organization,31/8/2016,NA
Vegetables,-,10956,(picul),(Yesterday),-,Government Wholesale Markets,31/8/2016,NA
Eggs,-,6590000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,31/8/2016,NA
Livestock / Poultry,Live pig,4061,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,1/9/2016,NA
Livestock / Poultry,Live pig,233,(head),(Yesterday),Local,Food and Environmental Hygiene Department,1/9/2016,NA
Livestock / Poultry,Live cattle,61,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,1/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,1/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/9/2016,NA
Livestock / Poultry,Live chicken,8210,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/9/2016,NA
Marine fish,-,1944,(picul),(Yesterday),-,Fish Marketing Organization,1/9/2016,NA
Freshwater fish,-,3045,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,1/9/2016,NA
Vegetables,-,4982,(picul),(Yesterday),-,Vegetable Marketing Organization,1/9/2016,NA
Vegetables,-,11105,(picul),(Yesterday),-,Government Wholesale Markets,1/9/2016,NA
Eggs,-,4040000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,1/9/2016,NA
Livestock / Poultry,Live pig,3756,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,2/9/2016,NA
Livestock / Poultry,Live pig,233,(head),(Yesterday),Local,Food and Environmental Hygiene Department,2/9/2016,NA
Livestock / Poultry,Live cattle,73,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,2/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,2/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/9/2016,NA
Livestock / Poultry,Live chicken,8170,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/9/2016,NA
Marine fish,-,1868,(picul),(Yesterday),-,Fish Marketing Organization,2/9/2016,NA
Freshwater fish,-,2716,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,2/9/2016,NA
Vegetables,-,5049,(picul),(Yesterday),-,Vegetable Marketing Organization,2/9/2016,NA
Vegetables,-,11600,(picul),(Yesterday),-,Government Wholesale Markets,2/9/2016,NA
Eggs,-,3360000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,2/9/2016,NA
Livestock / Poultry,Live pig,3543,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,3/9/2016,NA
Livestock / Poultry,Live pig,253,(head),(Yesterday),Local,Food and Environmental Hygiene Department,3/9/2016,NA
Livestock / Poultry,Live cattle,30,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,3/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,3/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,3/9/2016,NA
Livestock / Poultry,Live chicken,10650,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,3/9/2016,NA
Marine fish,-,1610,(picul),(Yesterday),-,Fish Marketing Organization,3/9/2016,NA
Freshwater fish,-,2622,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,3/9/2016,NA
Vegetables,-,5052,(picul),(Yesterday),-,Vegetable Marketing Organization,3/9/2016,NA
Vegetables,-,11336,(picul),(Yesterday),-,Government Wholesale Markets,3/9/2016,NA
Eggs,-,3950000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,3/9/2016,NA
Livestock / Poultry,Live pig,3966,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,4/9/2016,NA
Livestock / Poultry,Live pig,261,(head),(Yesterday),Local,Food and Environmental Hygiene Department,4/9/2016,NA
Livestock / Poultry,Live cattle,25,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,4/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,4/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,4/9/2016,NA
Livestock / Poultry,Live chicken,9380,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,4/9/2016,NA
Marine fish,-,Rest Day,(picul),(Yesterday),-,Fish Marketing Organization,4/9/2016,NA
Freshwater fish,-,2697,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,4/9/2016,NA
Vegetables,-,5055,(picul),(Yesterday),-,Vegetable Marketing Organization,4/9/2016,NA
Vegetables,-,10874,(picul),(Yesterday),-,Government Wholesale Markets,4/9/2016,NA
Eggs,-,3600000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,4/9/2016,NA
Livestock / Poultry,Live pig,4413,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,5/9/2016,NA
Livestock / Poultry,Live pig,277,(head),(Yesterday),Local,Food and Environmental Hygiene Department,5/9/2016,NA
Livestock / Poultry,Live cattle,51,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,5/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,5/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,5/9/2016,NA
Livestock / Poultry,Live chicken,11130,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,5/9/2016,NA
Marine fish,-,3287,(picul),(Yesterday),-,Fish Marketing Organization,5/9/2016,NA
Freshwater fish,-,2705,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,5/9/2016,NA
Vegetables,-,4942,(picul),(Yesterday),-,Vegetable Marketing Organization,5/9/2016,NA
Vegetables,-,8085,(picul),(Yesterday),-,Government Wholesale Markets,5/9/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,5/9/2016,NA
Livestock / Poultry,Live pig,3909,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,6/9/2016,NA
Livestock / Poultry,Live pig,263,(head),(Yesterday),Local,Food and Environmental Hygiene Department,6/9/2016,NA
Livestock / Poultry,Live cattle,33,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,6/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,6/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,6/9/2016,NA
Livestock / Poultry,Live chicken,8530,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,6/9/2016,NA
Marine fish,-,1772,(picul),(Yesterday),-,Fish Marketing Organization,6/9/2016,NA
Freshwater fish,-,2600,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,6/9/2016,NA
Vegetables,-,5240,(picul),(Yesterday),-,Vegetable Marketing Organization,6/9/2016,NA
Vegetables,-,10791,(picul),(Yesterday),-,Government Wholesale Markets,6/9/2016,NA
Eggs,-,6340000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,6/9/2016,NA
Livestock / Poultry,Live pig,3947,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,7/9/2016,NA
Livestock / Poultry,Live pig,232,(head),(Yesterday),Local,Food and Environmental Hygiene Department,7/9/2016,NA
Livestock / Poultry,Live cattle,65,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,7/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,7/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,7/9/2016,NA
Livestock / Poultry,Live chicken,9877,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,7/9/2016,NA
Marine fish,-,1922,(picul),(Yesterday),-,Fish Marketing Organization,7/9/2016,NA
Freshwater fish,-,2651,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,7/9/2016,NA
Vegetables,-,5165,(picul),(Yesterday),-,Vegetable Marketing Organization,7/9/2016,NA
Vegetables,-,12111,(picul),(Yesterday),-,Government Wholesale Markets,7/9/2016,NA
Eggs,-,4340000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,7/9/2016,NA
Livestock / Poultry,Live pig,4044,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,8/9/2016,NA
Livestock / Poultry,Live pig,247,(head),(Yesterday),Local,Food and Environmental Hygiene Department,8/9/2016,NA
Livestock / Poultry,Live cattle,52,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,8/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,8/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,8/9/2016,NA
Livestock / Poultry,Live chicken,8615,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,8/9/2016,NA
Marine fish,-,2065,(picul),(Yesterday),-,Fish Marketing Organization,8/9/2016,NA
Freshwater fish,-,2656,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,8/9/2016,NA
Vegetables,-,5188,(picul),(Yesterday),-,Vegetable Marketing Organization,8/9/2016,NA
Vegetables,-,10841,(picul),(Yesterday),-,Government Wholesale Markets,8/9/2016,NA
Eggs,-,4330000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,8/9/2016,NA
Livestock / Poultry,Live pig,3935,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,9/9/2016,NA
Livestock / Poultry,Live pig,243,(head),(Yesterday),Local,Food and Environmental Hygiene Department,9/9/2016,NA
Livestock / Poultry,Live cattle,62,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,9/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,9/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,9/9/2016,NA
Livestock / Poultry,Live chicken,10180,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,9/9/2016,NA
Marine fish,-,1884,(picul),(Yesterday),-,Fish Marketing Organization,9/9/2016,NA
Freshwater fish,-,2583,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,9/9/2016,NA
Vegetables,-,5102,(picul),(Yesterday),-,Vegetable Marketing Organization,9/9/2016,NA
Vegetables,-,11006,(picul),(Yesterday),-,Government Wholesale Markets,9/9/2016,NA
Eggs,-,3000000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,9/9/2016,NA
Livestock / Poultry,Live pig,3977,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,10/9/2016,NA
Livestock / Poultry,Live pig,219,(head),(Yesterday),Local,Food and Environmental Hygiene Department,10/9/2016,NA
Livestock / Poultry,Live cattle,52,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,10/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,10/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,10/9/2016,NA
Livestock / Poultry,Live chicken,14348,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,10/9/2016,NA
Marine fish,-,1792,(picul),(Yesterday),-,Fish Marketing Organization,10/9/2016,NA
Freshwater fish,-,2567,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,10/9/2016,NA
Vegetables,-,5166,(picul),(Yesterday),-,Vegetable Marketing Organization,10/9/2016,NA
Vegetables,-,13332,(picul),(Yesterday),-,Government Wholesale Markets,10/9/2016,NA
Eggs,-,3790000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,10/9/2016,NA
Livestock / Poultry,Live pig,3752,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,11/9/2016,NA
Livestock / Poultry,Live pig,242,(head),(Yesterday),Local,Food and Environmental Hygiene Department,11/9/2016,NA
Livestock / Poultry,Live cattle,61,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,11/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,11/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,11/9/2016,NA
Livestock / Poultry,Live chicken,14570,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,11/9/2016,NA
Marine fish,-,1490,(picul),(Yesterday),-,Fish Marketing Organization,11/9/2016,NA
Freshwater fish,-,2527,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,11/9/2016,NA
Vegetables,-,4841,(picul),(Yesterday),-,Vegetable Marketing Organization,11/9/2016,NA
Vegetables,-,10709,(picul),(Yesterday),-,Government Wholesale Markets,11/9/2016,NA
Eggs,-,1500000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,11/9/2016,NA
Livestock / Poultry,Live pig,4413,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,12/9/2016,NA
Livestock / Poultry,Live pig,320,(head),(Yesterday),Local,Food and Environmental Hygiene Department,12/9/2016,NA
Livestock / Poultry,Live cattle,66,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,12/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,12/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,12/9/2016,NA
Livestock / Poultry,Live chicken,12900,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,12/9/2016,NA
Marine fish,-,1901,(picul),(Yesterday),-,Fish Marketing Organization,12/9/2016,NA
Freshwater fish,-,2478,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,12/9/2016,NA
Vegetables,-,4845,(picul),(Yesterday),-,Vegetable Marketing Organization,12/9/2016,NA
Vegetables,-,8861,(picul),(Yesterday),-,Government Wholesale Markets,12/9/2016,NA
Eggs,-,240000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,12/9/2016,NA
Livestock / Poultry,Live pig,4145,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,13/9/2016,NA
Livestock / Poultry,Live pig,274,(head),(Yesterday),Local,Food and Environmental Hygiene Department,13/9/2016,NA
Livestock / Poultry,Live cattle,34,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,13/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,13/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,13/9/2016,NA
Livestock / Poultry,Live chicken,14080,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,13/9/2016,NA
Marine fish,-,1874,(picul),(Yesterday),-,Fish Marketing Organization,13/9/2016,NA
Freshwater fish,-,2623,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,13/9/2016,NA
Vegetables,-,5251,(picul),(Yesterday),-,Vegetable Marketing Organization,13/9/2016,NA
Vegetables,-,10973,(picul),(Yesterday),-,Government Wholesale Markets,13/9/2016,NA
Eggs,-,7620000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,13/9/2016,NA
Livestock / Poultry,Live pig,4255,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,14/9/2016,NA
Livestock / Poultry,Live pig,258,(head),(Yesterday),Local,Food and Environmental Hygiene Department,14/9/2016,NA
Livestock / Poultry,Live cattle,59,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,14/9/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,14/9/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,14/9/2016,NA
