food_category,food_item,price_morning,unit,data_from,food_origin,supplier,date_reported,supply_intake
Freshwater fish,Mud carp,18.3,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,31/12/2015,NA
Vegetables,Flowering Cabbage,4.5,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,White Cabbage,3.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Chinese Lettuce,4.1,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Chrysanthemum Garland,7.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Chinese Kale,5.0,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,European Celery,8.6,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Potato,3.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Spinach,6.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Water Cress,5.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Broccoli,8.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Green Cabbage,4.6,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Tomato,5.0,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Vegetables,Pea Shoot,23.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,31/12/2015,NA
Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,31/12/2015,NA
Eggs,Grade II brown-shelled egg Germany (360/box),-,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,31/12/2015,NA
Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,31/12/2015,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock / Poultry,Live pig,1250.0,($ / Picul),(Yesterday),-,Slaughterhouses,1/1/2016,NA
Livestock / Poultry,Live cattle,Not yet supplied,($ / Picul),(Yesterday),-,Ng Fung Hong,1/1/2016,NA
Livestock / Poultry,Live chicken,-,($ / Catty),(Yesterday),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/1/2016,NA
Livestock / Poultry,Live chicken,41.5,($ / Catty),(Yesterday),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/1/2016,NA
Marine fish,Golden thread,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Horse head,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Yellow croaker,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Big eyes,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Scads,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Breams,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Hairtail,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Mackerel,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Croakers,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Marine fish,Filefish,-,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,1/1/2016,NA
Freshwater fish,Grass carp,16.0,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,1/1/2016,NA
Freshwater fish,Big head,16.3,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,1/1/2016,NA
Freshwater fish,Mud carp,18.4,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,1/1/2016,NA
Vegetables,Flowering Cabbage,4.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,1/1/2016,NA
