date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-10,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-10,Livestock / Poultry,Live chicken,9250,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-10,Marine fish,NA,1725,(picul),NA,Fish Marketing Organization
2016-01-10,Freshwater fish,NA,2748,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-10,Vegetables,NA,5535,(picul),NA,Vegetable Marketing Organization
2016-01-10,Vegetables,NA,8976,(picul),NA,Government Wholesale Markets
2016-01-11,Livestock / Poultry,Live pig,4761,(head),Mainland,Food and Environmental Hygiene Department
2016-01-11,Livestock / Poultry,Live pig,242,(head),Local,Food and Environmental Hygiene Department
2016-01-11,Livestock / Poultry,Live cattle,48,(head),Mainland,Food and Environmental Hygiene Department
2016-01-11,Livestock / Poultry,Live chicken,8550,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-11,Marine fish,NA,1832,(picul),NA,Fish Marketing Organization
2016-01-11,Freshwater fish,NA,2897,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-11,Vegetables,NA,5973,(picul),NA,Vegetable Marketing Organization
2016-01-11,Vegetables,NA,11385,(picul),NA,Government Wholesale Markets
2016-01-11,Eggs,NA,261e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-12,Livestock / Poultry,Live pig,4335,(head),Mainland,Food and Environmental Hygiene Department
2016-01-12,Livestock / Poultry,Live pig,255,(head),Local,Food and Environmental Hygiene Department
2016-01-12,Livestock / Poultry,Live cattle,25,(head),Mainland,Food and Environmental Hygiene Department
2016-01-12,Livestock / Poultry,Live chicken,9076,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-12,Marine fish,NA,1704,(picul),NA,Fish Marketing Organization
2016-01-12,Freshwater fish,NA,2843,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-12,Vegetables,NA,5736,(picul),NA,Vegetable Marketing Organization
2016-01-12,Vegetables,NA,10973,(picul),NA,Government Wholesale Markets
2016-01-12,Eggs,NA,392e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-13,Livestock / Poultry,Live pig,4626,(head),Mainland,Food and Environmental Hygiene Department
2016-01-13,Livestock / Poultry,Live pig,221,(head),Local,Food and Environmental Hygiene Department
2016-01-13,Livestock / Poultry,Live cattle,66,(head),Mainland,Food and Environmental Hygiene Department
2016-01-13,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-13,Livestock / Poultry,Live chicken,10887,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-13,Marine fish,NA,1455,(picul),NA,Fish Marketing Organization
2016-01-13,Freshwater fish,NA,2881,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-13,Vegetables,NA,5268,(picul),NA,Vegetable Marketing Organization
2016-01-13,Vegetables,NA,11402,(picul),NA,Government Wholesale Markets
2016-01-13,Eggs,NA,448e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-14,Livestock / Poultry,Live pig,4454,(head),Mainland,Food and Environmental Hygiene Department
2016-01-14,Livestock / Poultry,Live pig,229,(head),Local,Food and Environmental Hygiene Department
2016-01-14,Livestock / Poultry,Live cattle,52,(head),Mainland,Food and Environmental Hygiene Department
2016-01-14,Livestock / Poultry,Live chicken,8875,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-14,Marine fish,NA,1604,(picul),NA,Fish Marketing Organization
2016-01-14,Freshwater fish,NA,3034,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-14,Vegetables,NA,5763,(picul),NA,Vegetable Marketing Organization
2016-01-14,Vegetables,NA,10907,(picul),NA,Government Wholesale Markets
2016-01-14,Eggs,NA,35e5,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-15,Livestock / Poultry,Live pig,4094,(head),Mainland,Food and Environmental Hygiene Department
2016-01-15,Livestock / Poultry,Live pig,228,(head),Local,Food and Environmental Hygiene Department
2016-01-15,Livestock / Poultry,Live cattle,67,(head),Mainland,Food and Environmental Hygiene Department
2016-01-15,Livestock / Poultry,Live chicken,12711,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-15,Marine fish,NA,1511,(picul),NA,Fish Marketing Organization
2016-01-15,Freshwater fish,NA,3017,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-15,Vegetables,NA,5404,(picul),NA,Vegetable Marketing Organization
2016-01-15,Vegetables,NA,9983,(picul),NA,Government Wholesale Markets
2016-01-15,Eggs,NA,349e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-16,Livestock / Poultry,Live pig,4044,(head),Mainland,Food and Environmental Hygiene Department
2016-01-16,Livestock / Poultry,Live pig,228,(head),Local,Food and Environmental Hygiene Department
2016-01-16,Livestock / Poultry,Live cattle,22,(head),Mainland,Food and Environmental Hygiene Department
2016-01-16,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-16,Livestock / Poultry,Live chicken,12165,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-16,Marine fish,NA,1350,(picul),NA,Fish Marketing Organization
2016-01-16,Freshwater fish,NA,3222,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-16,Vegetables,NA,5206,(picul),NA,Vegetable Marketing Organization
2016-01-16,Vegetables,NA,10362,(picul),NA,Government Wholesale Markets
2016-01-16,Eggs,NA,468e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-17,Livestock / Poultry,Live pig,4694,(head),Mainland,Food and Environmental Hygiene Department
2016-01-17,Livestock / Poultry,Live pig,290,(head),Local,Food and Environmental Hygiene Department
2016-01-17,Livestock / Poultry,Live cattle,53,(head),Mainland,Food and Environmental Hygiene Department
2016-01-17,Livestock / Poultry,Live chicken,10600,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-17,Marine fish,NA,1720,(picul),NA,Fish Marketing Organization
2016-01-17,Freshwater fish,NA,2917,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
