date_morning,food_category,food_item,price_morning,unit,food_origin,provided_by
2015-12-30,Vegetables,Water Cress,5.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-30,Vegetables,Broccoli,8.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-30,Vegetables,Green Cabbage,4.6,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-30,Vegetables,Tomato,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-30,Vegetables,Pea Shoot,23.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-30,Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-30,Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-31,Livestock / Poultry,Live pig,1250,($ / Picul),NA,Slaughterhouses
2015-12-31,Livestock / Poultry,Live chicken,41.5,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market
2015-12-31,Freshwater fish,Grass carp,16,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-31,Freshwater fish,Big head,16.3,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-31,Freshwater fish,Mud carp,18.4,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2015-12-31,Vegetables,Flowering Cabbage,4.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2015-12-31,Vegetables,White Cabbage,4.4,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
